Filename,Operation,Compression,DataType,Size,Time
l_commitdate-string.csv,EN,RLE,STRING,64466,2597
l_commitdate-string.rle,DE,RLE,STRING,75245,17624
l_commitdate-string.csv,EN,DIC,STRING,64466,8926
l_commitdate-string.dic,DE,DIC,STRING,26668,4613
l_discount-int8.csv,EN,BIN,INT8,12254,1061
l_discount-int8.bin,DE,BIN,INT8,5860,28
l_discount-int8.csv,EN,RLE,INT8,12254,2460
l_discount-int8.rle,DE,RLE,INT8,21794,9072
l_discount-int8.csv,EN,DIC,INT8,12254,3655
l_discount-int8.dic,DE,DIC,INT8,12254,1854
l_discount-int8.csv,EN,FOR,INT8,12254,3176
l_discount-int8.for,DE,FOR,INT8,14384,1257
l_discount-int8.csv,EN,DIF,INT8,12254,1877
l_discount-int8.dif,DE,DIF,INT8,14482,1406
l_discount-int64.csv,EN,BIN,INT64,12254,1232
l_discount-int64.bin,DE,BIN,INT64,46884,90
l_discount-int64.csv,EN,RLE,INT64,12254,2449
l_discount-int64.rle,DE,RLE,INT64,21794,9267
l_discount-int64.csv,EN,DIC,INT64,12254,3671
l_discount-int64.dic,DE,DIC,INT64,12254,1907
l_discount-int64.csv,EN,FOR,INT64,12254,3364
l_discount-int64.for,DE,FOR,INT64,14384,1412
l_discount-int64.csv,EN,DIF,INT64,12254,1989
l_discount-int64.dif,DE,DIF,INT64,14482,1288
l_extendedprice-int32.csv,EN,BIN,INT32,46130,1601
l_extendedprice-int32.bin,DE,BIN,INT32,23442,61
l_extendedprice-int32.csv,EN,RLE,INT32,46130,3416
l_extendedprice-int32.rle,DE,RLE,INT32,57851,10755
l_extendedprice-int32.csv,EN,DIC,INT32,46130,21604
l_extendedprice-int32.dic,DE,DIC,INT32,53600,12745
l_extendedprice-int32.csv,EN,FOR,INT32,46130,4541
l_extendedprice-int32.for,DE,FOR,INT32,48005,1943
l_extendedprice-int32.csv,EN,DIF,INT32,46130,2918
l_extendedprice-int32.dif,DE,DIF,INT32,48283,2001
l_extendedprice-int64.csv,EN,BIN,INT64,46130,1700
l_extendedprice-int64.bin,DE,BIN,INT64,46884,137
l_extendedprice-int64.csv,EN,RLE,INT64,46130,3653
l_extendedprice-int64.rle,DE,RLE,INT64,57851,10378
l_extendedprice-int64.csv,EN,DIC,INT64,46130,23377
l_extendedprice-int64.dic,DE,DIC,INT64,53600,13817
